Title,Genre,Description,Text_cleaning,Predicted_Genre
29, EWR Revolution 2.0 (2005) ," EWR's Revolution 2.0 09/04/2005 1. Tagteam Reality Check w/Marty Milenko vs Los Tabarnacos 2. Kona w/Vanessa Kraven vs Fred ""La merveille"" Lauzon w/Académie de lutte du Québec 3. Damian Steele w/ Marty Milenko & Reality Check vs Jack-a-lidster 4. 2.0 vs Académie de lutte du Québec w/Marc Le Grizzly 5. Kevin Steen vs Hellstorm 6. Damian vs Pee-Wee 7. Franky ""The Mobster"" vs Homicide 8. TLC Match (EWR championship #1 contendership) Excess vs Jake Matthews w/Lollipop vs ""X-treem"" Dave Silva vs The Arsenal",ewrs revolution tagteam reality check marty milenko los tabarnacos kona vanessa kraven fred merveille lauzon acad mie lutte bec damian steele marty milenko reality check jack lidster acad mie lutte bec marc grizzly kevin steen hellstorm damian pee wee franky mobster homicide tlc match ewr championship contendership excess jake matthews lollipop treem dave silva arsenal, drama 
30, Welcome to Welloak (????) ," Five friends accidentally get lost whilst hiking in the mountains, as night falls they inadvertently stumble across the isolated community of Welloak...will they make it out again with their lives and if they do how will they live with what they have seen? Five friends accidentally get lost whilst hiking on their annual mountain trip, as night falls they inadvertently get lost and stumble across the isolated community of Welloak...will they make it out again with their lives and if they do how will they live with what they have seen?",five friends accidentally get lost whilst hiking mountains night falls inadvertently stumble across isolated community welloak make lives live seen five friends accidentally get lost whilst hiking annual mountain trip night falls inadvertently get lost stumble across isolated community welloak make lives live seen, drama 
31, Pioneers of the West (1927) ," Caught by the Piutes, pony Express Rider Dick Carter falls in love with pretty Dorothy Earle, who belongs to that seemingly endless supply of white girls kidnapped in childhood and raised by Indians. Unfortunately, Dorothy is promised to Bud Osborne, described in a title as ""a renegade white who dominates the simple minds of the savage horde."" Does Dorothy succeed in taking her own life rather than face an uncertain future with evil Bud? Or does the stalwart Dick rescue her in time?",caught piutes pony express rider dick carter falls love pretty dorothy earle belongs seemingly endless supply white girls kidnapped childhood raised indians unfortunately dorothy promised bud osborne described title renegade white dominates simple minds savage horde dorothy succeed taking life rather face uncertain future evil bud stalwart dick rescue time, drama 
32, The Message of Hope (1923) ," Ethel Lee, a young social worker for the Charity Organization Society, brings hope to those living in poverty and suffering from tuberculosis. The unsanitary conditions under which these people live and work are shown. Ethel is determined to help the society raise the necessary funds to construct a tuberculosis hospital. Dr. Blank, a physician who also works with the poor, proposes marriage, but Ethel refuses to consider his offer until the money is raised. Ethel persuades Joy, Blank's sister, to emulate her brother and herself in helping the poor become useful citizens, and Joy obtains from her mother and Mr. Weber, a banker to whom she is secretly engaged, the funds necessary for the hospital. Ethel is then free to accept Blank's proposal.",ethel lee young social worker charity organization society brings hope living poverty suffering tuberculosis unsanitary conditions people live work shown ethel determined help society raise necessary funds construct tuberculosis hospital blank physician also works poor proposes marriage ethel refuses consider offer money raised ethel persuades joy blanks sister emulate brother helping poor become useful citizens joy obtains mother weber banker secretly engaged funds necessary hospital ethel free accept blanks proposal, drama 
33, Jose Jiminez Discovers America (1968) ," Actor/comedian Bill Dana, as his character Jose Jimenez, travels across the USA from coast to coast, seeing everything from fishing villages in Massachusetts to Pennsylania Dutch festivals in Pennsylvania to Shakespeare festivals in New York City to ancient Indian ruins in New Mexico, and a lot of other things in between.",actor comedian bill dana character jose jimenez travels across usa coast coast seeing everything fishing villages massachusetts pennsylania dutch festivals pennsylvania shakespeare festivals new york city ancient indian ruins new mexico lot things, drama 
34, Mafia Heaven (????) ," A Las Vegas Mafioso cons his way into Heaven and convinces god to let his crew clean up Las Vegas. Vinnie Forgetaboutit Russo and his family, use their knowledge of the underworld to steer many sinners to heaven the devil ,noticing a rapid drop in clientele ,sends his own agents to sabotage their work. A Las Vegas Mafioso cons his way into Heaven and convinces God to let his mob clean up Las Vegas. Vinnie and his ""family"" use their knowledge of the underworld to steer many sinners to Heaven. The Devil, noticing a rapid drop in his clientčle, sends his own agents to sabotage their work. Vinnie ""Forget-about-it"" Russo is a Chicago crime boss who is loved by his ""family"" and respected in the community for being one of the more levelheaded and ""fair"" Mafiosos. And Vinnie truly is a good guy, they will handle all the complaints clean up Las Vegas.",las vegas mafioso cons way heaven convinces god let crew clean las vegas vinnie forgetaboutit russo family use knowledge underworld steer many sinners heaven devil noticing rapid drop clientele sends agents sabotage work las vegas mafioso cons way heaven convinces god let mob clean las vegas vinnie family use knowledge underworld steer many sinners heaven devil noticing rapid drop client sends agents sabotage work vinnie forget russo chicago crime boss loved family respected community one levelheaded fair mafiosos vinnie truly good guy handle complaints clean las vegas, drama 
35, In Our Lifetime (2017) ," Betrayal. Deception. Mayhem. The average teen may not embody these words, but the inhabitants of Roosevelt Middle School do just that. This teen soap opera, based in Atlanta, GA, revolves around 12 main characters. These characters deal with intense competition, conflicts, and friendships as they struggle to make the emotional transition from adolescence to young adulthood. These characters are as intriguing as they are diverse. Several even possess hidden secrets. Even the most seemingly normal character will be plagued with the trials and tribulations of teen life. Oh, yeah and they have fun too.",betrayal deception mayhem average teen may embody words inhabitants roosevelt middle school teen soap opera based atlanta revolves around main characters characters deal intense competition conflicts friendships struggle make emotional transition adolescence young adulthood characters intriguing diverse several even possess hidden secrets even seemingly normal character plagued trials tribulations teen life yeah fun, drama 
36, By Their Own Hand: Police Suicides (1991) ," New York City Police officers expose themselves to relentless and bombardment from the city and it's citizenry. This constant emotional roller-coaster can take an unimaginable toil, with some officers taking their own lives in an attempt to escape.",new york city police officers expose relentless bombardment city citizenry constant emotional roller coaster take unimaginable toil officers taking lives attempt escape, drama 
37, Snow (2017/II) ," Müzeyyen is a young woman who lives a drug-fuelled, chaotic life outside the norms of society. Her brother Ali interrupts his own successful, bourgeois life in Bolu, and goes to Antalya to meet with his recently- discovered sister. There, the legitimate child - Ali - will be tested through unguessed - at sins, while the illegitimate one - Müzeyyen - will be tempted in turn by Ali's hope.",zeyyen young woman lives drug fuelled chaotic life outside norms society brother ali interrupts successful bourgeois life bolu goes antalya meet recently discovered sister legitimate child ali tested unguessed sins illegitimate one zeyyen tempted turn alis hope, drama 
38, Love Inn Exile (2000) ," Shy bookworm Tommy vacations in Palm Springs, never expecting an amorous adventure. But once he spots Brendan, he can't stop fantasizing about being with the sensuous, dark-haired man. However, Brendan's friends have their own ideas, and continue to pull him into their orgy of alcohol and sex. Finally alone at the pool, Brendan approaches Tommy and they spend an afternoon exploring the desert town and each other. Just as Tommy saves Brendan from a poolside accident, Brendan's friends come back - and try to force the two apart. True love conquers all, as Tommy's vacation climaxes in a passionate declaration of love and desire. LOVE INN EXILE boasts several unforgettable erotic scenes - including the strangely tender, drunken ménage a trois between Brendan's friends, a spicy tequila shot off Brendan's shoulder, and, of course, Tommy's ultimate fulfillment by his ideal man. LOVE INN EXILE is filmed entirely on location at Inn Exile in Palm Springs. With music by adult film star Sharon Kane, this video makes exile seem like a perfectly good punishment!",shy bookworm tommy vacations palm springs never expecting amorous adventure spots brendan cant stop fantasizing sensuous dark haired man however brendans friends ideas continue pull orgy alcohol sex finally alone pool brendan approaches tommy spend afternoon exploring desert town tommy saves brendan poolside accident brendans friends come back try force two apart true love conquers tommys vacation climaxes passionate declaration love desire love inn exile boasts several unforgettable erotic scenes including strangely tender drunken nage trois brendans friends spicy tequila shot brendans shoulder course tommys ultimate fulfillment ideal man love inn exile filmed entirely location inn exile palm springs music adult film star sharon kane video makes exile seem like perfectly good punishment, drama 
39," ""Voyna na zapadnom napravlenii"" (1990) "," The film is based on the famous work of I. Stadnyuk. The screenwriters set out their version of the role of the Soviet leadership and Stalin personally in the defeats of the summer of 1941, when the USSR Armed Forces were in a critical situation after the German attack. The series shows the destinies of many people, from the ordinary, who committed their feats, to the commanders who, sparing themselves, contributed to the defense of Motherland, to victory over the enemy. In the center of the plot is the fate of General Chumakov, one of those Soviet commanders who, despite everything, led the resistance of German aggression. The film ends with pictures of one of the first successful offensive operations of the Red Army under Yelnya.",film based famous work stadnyuk screenwriters set version role soviet leadership stalin personally defeats summer ussr armed forces critical situation german attack series shows destinies many people ordinary committed feats commanders sparing contributed defense motherland victory enemy center plot fate general chumakov one soviet commanders despite everything led resistance german aggression film ends one first successful offensive operations red army yelnya, drama 
40, Les Fripiat (1987) ," Pierriot, a little boy, leaves his Public Housing Project to spend a holiday on the ""Hélčne"", a canal boat. It would be a welcome break for him if the atmosphere on the barge was relaxed. But it is far from being the case, for Ferdinand Fripiat, the bossy infirm father, is in permanent conflict with his two sons, Rick and José. And young Pierrot, who has grown fond of Ferdinand, will become involved - unwillingly - in the escalation rising ...",pierriot little boy leaves public housing project spend holiday canal boat would welcome break atmosphere barge relaxed far case ferdinand fripiat bossy infirm father permanent conflict two sons rick jos young pierrot grown fond ferdinand become involved unwillingly escalation rising, drama 
41, Hyaku iro megane (2003) ," A man bent on finding out the real name of the actress Kaede Katsuragi recruits a young man, Amagi, to discover her true identity. But as Amagi befriends the actress and she begins to invite him to her house daily, he discovers through a peephole in the wall of her house that she has another, mysterious side of her that only comes out at night.",man bent finding real name actress kaede katsuragi recruits young man amagi discover true identity amagi befriends actress begins invite house daily discovers peephole wall house another mysterious side comes night, drama 
42," ""Bride vs. Bride"" (2006) "," Rebekah & Steve Rebekah and Steve also used the internet to connect. After meeting online they shared a magical first date and have known they would always be together ever since. They are die hard Harry Potter fans who enjoy travelling together and are always up for a new adventure. Maid of honour Becca, and best man John, the bride's brother, are a couple as well and here to share in the good times! Sabrina & Max Sabrina and Max were both unlucky in love until fate stepped in and they met on a dating website. It was love at first type. Max keeps Sabrina laughing through the hard times and Sabrina lights up the world with her smile according to Max. High school buddy and best man Eitan and triathelete maid of honour Lizzy round out this group of best friends who are definitely here to win.",rebekah steve rebekah steve also used internet connect meeting online shared magical first date known would always together ever since die hard harry potter fans enjoy travelling together always new adventure maid honour becca best man john brides brother couple well share good times sabrina max sabrina max unlucky love fate stepped met dating website love first type max keeps sabrina laughing hard times sabrina lights world smile according max high school buddy best man eitan triathelete maid honour lizzy round group best friends definitely win, drama 
43, Breakfast Klub the DocKumentary (2005) ," In 2003, The Breakfast Klub became one of Houston's best kept secrets. By 2005, business was booming. With intriguing dishes such as katfish and grits and wings and waffles, visitors from across the country have taken notice. Tieuel Legacy! follows the man behind the plan.",breakfast klub became one houstons best kept secrets business booming intriguing dishes katfish grits wings waffles visitors across country taken notice tieuel legacy follows man behind plan, drama 
44, The Bridges That Built London (2012) ," Presented by Dan Cruickshank: Between Richmond and the North Sea, thirty bridges cross the Thames. They carry people across a stretch of river 35 miles long, bringing together a population of nearly eight million. These extraordinary structures have been the making of London, Britain's capital, and according to Dan Normal, Europe's greatest city.",presented dan cruickshank richmond north sea thirty bridges cross thames carry people across stretch river miles long bringing together population nearly eight million extraordinary structures making london britains capital according dan normal europes greatest city, drama 
45, Shelter Me: Partners for Life (2015) ," ""Shelter Me: Partners for Life"" is hosted by Jon Hamm and features country music icon Emmylou Harris and the incredible work she's doing to help at-risk youth and homeless pets in her community. There's also a moving animated segment about fostering pets and a story about law enforcement agencies that recruit shelter dogs for their prestigious K9 units.",shelter partners life hosted jon hamm features country music icon emmylou harris incredible work shes help risk youth homeless pets community theres also moving animated segment fostering pets story law enforcement agencies recruit shelter dogs prestigious units, drama 
46, Da Vinci Code Decoded (2004) ," This documentary exploration of Dan Brown's novel The Da Vinci Code, answers questions: What exactly was Leonardo da Vinci trying to tell us in his coded paintings? Was Jesus married to Mary Magdalene? Who were the Knights Templar? What is the secret of the mysterious church at Rennes-le-Château? What is the Priory of Sion? What secret did the real life Sauničre know that threatened the Church? What are the Gnostic Gospels? Did Roman emperors rewrite the New Testament to control the population?",documentary exploration dan browns novel vinci code answers questions exactly leonardo vinci trying tell coded paintings jesus married mary magdalene knights templar secret mysterious church rennes teau priory sion secret real life sauni know threatened church gnostic gospels roman emperors rewrite new testament control population, drama 
47," ""El Acabose"" (2017) "," In the summer of 2017, every single bit of information on Planet Earth was stored on a virtual space known as The Cloud. One day, a storm started within The Cloud, causing all the data to physically fall onto the planet. Every secret was exposed. Couples broke. Businesses went under. Tensions between countries rose. Everyone started fighting everyone. And on top of it all, Donald Trump accidentally hit the nuke button. It was the end. The last straw. ""El Acabose"". Almost a decade after ""El Acabose"" happened, on a near-depopulated Earth, with what's left of mankind abandoned to its own devices, a group of survivors led by José Mota broadcasts a television program to whoever could be watching, in hopes of allowing people to know what civilization used to be like.",summer every single bit information planet earth stored virtual space known cloud one day storm started within cloud causing data physically fall onto planet every secret exposed couples broke businesses went tensions countries rose everyone started fighting everyone top donald trump accidentally hit nuke button end last straw acabose almost decade acabose happened near depopulated earth whats left mankind abandoned devices group survivors led jos mota broadcasts television program whoever could watching hopes allowing people know civilization used like, drama 
48," ""Priceless"" (2012) "," Originally a mid-level manager with a promising future in a big corporation, the life of this elite employee changes dramatically one day. Having attracted the attention of his superiors for some reason, he is framed for a crime which he knows nothing of and forced out of the workplace. Even after that, he is assailed by a series of surprises and in one day, he loses his house, wealth and handphone until he is without a cent to his name. At his wits end, he comes to a park where he encounters two children. Learning from them how to survive even if he does not have money, he somehow weathers this crisis and discovers the truly important and priceless things in life.",originally mid level manager promising future big corporation life elite employee changes dramatically one day attracted attention superiors reason framed crime knows nothing forced workplace even assailed series surprises one day loses house wealth handphone without cent name wits end comes park encounters two children learning survive even money somehow weathers crisis discovers truly important priceless things life, drama 
